"County, State",Type,Value
"Little River, AR",Temp,63.6
"Logan, AR",Temp,60.6
"Lonoke, AR",Temp,62.3
"Madison, AR",Temp,56.8
"Marion, AR",Temp,57.6
"Miller, AR",Temp,64.2
"Mississippi, AR",Temp,61.5
"Monroe, AR",Temp,62.7
"Montgomery, AR",Temp,61.2
"Nevada, AR",Temp,62.9
"Newton, AR",Temp,57.0
"Ouachita, AR",Temp,63.1
"Perry, AR",Temp,61.5
"Phillips, AR",Temp,63.2
"Pike, AR",Temp,61.8
"Poinsett, AR",Temp,61.2
"Polk, AR",Temp,60.4
"Pope, AR",Temp,59.7
"Prairie, AR",Temp,62.3
"Pulaski, AR",Temp,61.9
"Randolph, AR",Temp,58.9
"Saline, AR",Temp,61.7
"Scott, AR",Temp,60.6
"Searcy, AR",Temp,57.7
"Sebastian, AR",Temp,61.2
"Sevier, AR",Temp,62.8
"Sharp, AR",Temp,58.7
"St. Francis, AR",Temp,62.3
"Stone, AR",Temp,58.2
"Union, AR",Temp,64.5
"Van Buren, AR",Temp,58.9
"Washington, AR",Temp,57.8
"White, AR",Temp,61.5
"Woodruff, AR",Temp,61.5
"Yell, AR",Temp,61.2
"Alameda, CA",Temp,59.7
"Alpine, CA",Temp,43.7
"Amador, CA",Temp,57.9
"Butte, CA",Temp,60.3
"Calaveras, CA",Temp,58.3
"Colusa, CA",Temp,61.6
"Contra Costa, CA",Temp,60.7
"Del Norte, CA",Temp,52.3
"El Dorado, CA",Temp,53.7
"Fresno, CA",Temp,55.9
"Glenn, CA",Temp,60.4
"Humboldt, CA",Temp,54.3
"Imperial, CA",Temp,73.1
"Inyo, CA",Temp,60.1
"Kern, CA",Temp,61.8
"Kings, CA",Temp,64.6
"Lake, CA",Temp,57.4
"Lassen, CA",Temp,46.6
"Los Angeles, CA",Temp,61.2
"Madera, CA",Temp,56.3
"Marin, CA",Temp,57.0
"Mariposa, CA",Temp,54.8
"Mendocino, CA",Temp,56.1
"Merced, CA",Temp,63.0
"Modoc, CA",Temp,46.7
"Mono, CA",Temp,43.8
"Monterey, CA",Temp,59.3
"Napa, CA",Temp,60.3
"Nevada, CA",Temp,52.2
"Orange, CA",Temp,64.0
"Placer, CA",Temp,53.5
"Plumas, CA",Temp,47.3
"Riverside, CA",Temp,67.7
"Sacramento, CA",Temp,62.8
"San Benito, CA",Temp,59.3
"San Bernardino, CA",Temp,65.8
"San Diego, CA",Temp,62.6
"San Francisco, CA",Temp,58.0
"San Joaquin, CA",Temp,62.5
"San Luis Obispo, CA",Temp,59.9
"San Mateo, CA",Temp,58.0
"Santa Barbara, CA",Temp,59.2
"Santa Clara, CA",Temp,59.0
"Santa Cruz, CA",Temp,58.5
"Shasta, CA",Temp,55.4
"Sierra, CA",Temp,47.1
"Siskiyou, CA",Temp,49.1
"Solano, CA",Temp,61.8
"Sonoma, CA",Temp,58.0
"Stanislaus, CA",Temp,62.2
"Sutter, CA",Temp,63.3
"Tehama, CA",Temp,59.0
"Trinity, CA",Temp,52.6
"Tulare, CA",Temp,54.2
"Tuolumne, CA",Temp,49.7
"Ventura, CA",Temp,58.4
"Yolo, CA",Temp,62.4
"Yuba, CA",Temp,60.9
"Adams, CO",Temp,48.9
"Alamosa, CO",Temp,42.6
"Arapahoe, CO",Temp,48.3
"Archuleta, CO",Temp,43.3
"Baca, CO",Temp,52.8
"Bent, CO",Temp,53.5
"Boulder, CO",Temp,44.4
"Broomfield, CO",Temp,50.3
"Chaffee, CO",Temp,37.5
"Cheyenne, CO",Temp,50.3
"Clear Creek, CO",Temp,37.1
"Conejos, CO",Temp,40.1
"Costilla, CO",Temp,42.2
"Crowley, CO",Temp,52.0
"Custer, CO",Temp,41.1
"Delta, CO",Temp,46.3
"Denver, CO",Temp,50.2
"Dolores, CO",Temp,42.9
"Douglas, CO",Temp,46.5
"Eagle, CO",Temp,39.0
"El Paso, CO",Temp,47.7
"Elbert, CO",Temp,46.9
"Fremont, CO",Temp,45.0
"Garfield, CO",Temp,43.1
"Gilpin, CO",Temp,38.9
"Grand, CO",Temp,37.0
"Gunnison, CO",Temp,37.4
"Hinsdale, CO",Temp,35.8
"Huerfano, CO",Temp,47.2
"Jackson, CO",Temp,36.2
"Jefferson, CO",Temp,45.6
"Kiowa, CO",Temp,51.7
"Kit Carson, CO",Temp,50.3
"La Plata, CO",Temp,44.5
"Lake, CO",Temp,34.1
"Larimer, CO",Temp,41.9
"Las Animas, CO",Temp,51.3
"Lincoln, CO",Temp,49.2
"Logan, CO",Temp,48.5
"Mesa, CO",Temp,47.0
"Mineral, CO",Temp,36.4
"Moffat, CO",Temp,43.4
"Montezuma, CO",Temp,48.3
"Montrose, CO",Temp,47.1
"Morgan, CO",Temp,48.9
"Otero, CO",Temp,53.3
"Ouray, CO",Temp,41.3
"Park, CO",Temp,37.6
"Phillips, CO",Temp,48.5
"Pitkin, CO",Temp,37.8
"Prowers, CO",Temp,52.9
"Pueblo, CO",Temp,52.3
"Rio Blanco, CO",Temp,43.7
"Rio Grande, CO",Temp,39.4
"Routt, CO",Temp,39.3
"Saguache, CO",Temp,38.5
"San Juan, CO",Temp,35.0
"San Miguel, CO",Temp,44.6
"Sedgwick, CO",Temp,48.0
"Summit, CO",Temp,35.5
"Teller, CO",Temp,39.7
"Washington, CO",Temp,49.1
"Weld, CO",Temp,48.0
"Yuma, CO",Temp,50.2
"Fairfield, CT",Temp,51.6
"Hartford, CT",Temp,50.1
"Litchfield, CT",Temp,47.7
"Middlesex, CT",Temp,50.8
"New Haven, CT",Temp,51.2
"New London, CT",Temp,50.7
"Tolland, CT",Temp,49.3
"Windham, CT",Temp,49.4
"Kent, DE",Temp,57.0
"New Castle, DE",Temp,56.2
"Sussex, DE",Temp,58.0
"Alachua, FL",Temp,71.8
"Baker, FL",Temp,70.3
"Bay, FL",Temp,70.2
"Bradford, FL",Temp,71.4
"Brevard, FL",Temp,74.1
"Broward, FL",Temp,77.5
"Calhoun, FL",Temp,69.6
"Charlotte, FL",Temp,75.6
"Citrus, FL",Temp,72.5
"Clay, FL",Temp,71.9
"Collier, FL",Temp,76.7
"Columbia, FL",Temp,70.1
"DeSoto, FL",Temp,74.8
"Dixie, FL",Temp,71.1
"Duval, FL",Temp,71.5
"Escambia, FL",Temp,69.0
"Flagler, FL",Temp,73.0
"Franklin, FL",Temp,70.5
"Gadsden, FL",Temp,69.5
"Gilchrist, FL",Temp,71.1
"Glades, FL",Temp,75.5
"Gulf, FL",Temp,70.1
"Hamilton, FL",Temp,69.2
"Hardee, FL",Temp,74.6
"Hendry, FL",Temp,75.8
"Hernando, FL",Temp,73.3
"Highlands, FL",Temp,75.1
"Hillsborough, FL",Temp,74.6
"Holmes, FL",Temp,68.9
"Indian River, FL",Temp,74.5
"Jackson, FL",Temp,69.4
"Jefferson, FL",Temp,69.8
"Lafayette, FL",Temp,70.4
"Lake, FL",Temp,73.6
"Lee, FL",Temp,76.2
"Leon, FL",Temp,69.8
"Levy, FL",Temp,72.1
"Liberty, FL",Temp,69.8
"Madison, FL",Temp,69.6
"Manatee, FL",Temp,74.5
"Marion, FL",Temp,72.5
"Martin, FL",Temp,76.0
"Miami-Dade, FL",Temp,78.1
"Monroe, FL",Temp,78.6
"Nassau, FL",Temp,70.6
"Okaloosa, FL",Temp,68.8
"Okeechobee, FL",Temp,75.2
"Orange, FL",Temp,74.3
"Osceola, FL",Temp,74.7
"Palm Beach, FL",Temp,76.7
"Pasco, FL",Temp,73.8
"Pinellas, FL",Temp,74.9
"Polk, FL",Temp,74.7
"Putnam, FL",Temp,72.6
"Santa Rosa, FL",Temp,68.6
"Sarasota, FL",Temp,74.8
"Seminole, FL",Temp,74.0
"St. Johns, FL",Temp,72.6
"St. Lucie, FL",Temp,75.2
"Sumter, FL",Temp,73.1
"Suwannee, FL",Temp,70.0
"Taylor, FL",Temp,70.6
"Union, FL",Temp,70.9
"Volusia, FL",Temp,73.4
"Wakulla, FL",Temp,70.3
"Walton, FL",Temp,69.1
"Washington, FL",Temp,69.4
"Appling, GA",Temp,68.8
"Atkinson, GA",Temp,68.8
"Bacon, GA",Temp,68.9
"Baker, GA",Temp,68.8
"Baldwin, GA",Temp,65.9
"Banks, GA",Temp,62.3
"Barrow, GA",Temp,62.7
"Bartow, GA",Temp,62.1
"Ben Hill, GA",Temp,68.3
"Berrien, GA",Temp,68.2
"Bibb, GA",Temp,66.2
"Bleckley, GA",Temp,67.1
"Brantley, GA",Temp,69.4
"Brooks, GA",Temp,68.3
"Bryan, GA",Temp,69.0
"Bulloch, GA",Temp,67.9
"Burke, GA",Temp,66.6
"Butts, GA",Temp,64.9
"Calhoun, GA",Temp,68.2
"Camden, GA",Temp,70.0
"Candler, GA",Temp,67.7
"Carroll, GA",Temp,63.2
"Catoosa, GA",Temp,61.7
"Charlton, GA",Temp,70.0
"Chatham, GA",Temp,69.2
"Chattahoochee, GA",Temp,66.3
"Chattooga, GA",Temp,61.9
"Cherokee, GA",Temp,61.3
"Clarke, GA",Temp,63.1
"Clay, GA",Temp,67.6
"Clayton, GA",Temp,64.0
"Clinch, GA",Temp,69.1
"Cobb, GA",Temp,62.8
"Coffee, GA",Temp,68.7
"Colquitt, GA",Temp,67.9
"Columbia, GA",Temp,65.6
"Cook, GA",Temp,68.0
"Coweta, GA",Temp,64.5
"Crawford, GA",Temp,65.8
"Crisp, GA",Temp,67.8
"Dade, GA",Temp,60.7
"Dawson, GA",Temp,59.9
"Decatur, GA",Temp,69.2
"DeKalb, GA",Temp,63.4
"Dodge, GA",Temp,67.7
"Dooly, GA",Temp,67.4
"Dougherty, GA",Temp,68.7
"Douglas, GA",Temp,63.4
"Early, GA",Temp,68.5
"Echols, GA",Temp,68.8
"Effingham, GA",Temp,68.0
"Elbert, GA",Temp,63.5
"Emanuel, GA",Temp,67.0
"Evans, GA",Temp,68.5
"Fannin, GA",Temp,57.8
"Fayette, GA",Temp,64.5
"Floyd, GA",Temp,62.4
"Forsyth, GA",Temp,61.1
"Franklin, GA",Temp,62.5
"Fulton, GA",Temp,63.3
"Gilmer, GA",Temp,58.5
"Glascock, GA",Temp,65.2
"Glynn, GA",Temp,69.9
"Gordon, GA",Temp,61.9
"Grady, GA",Temp,69.0
"Greene, GA",Temp,64.1
"Gwinnett, GA",Temp,62.4
"Habersham, GA",Temp,60.1
"Hall, GA",Temp,61.5
"Hancock, GA",Temp,65.0
"Haralson, GA",Temp,62.2
"Harris, GA",Temp,64.8
"Hart, GA",Temp,62.9
"Heard, GA",Temp,63.9
"Henry, GA",Temp,64.3
"Houston, GA",Temp,66.9
"Irwin, GA",Temp,68.2
"Jackson, GA",Temp,62.6
"Jasper, GA",Temp,65.0
"Jeff Davis, GA",Temp,68.6
"Jefferson, GA",Temp,65.8
"Jenkins, GA",Temp,66.9
"Johnson, GA",Temp,66.5
"Jones, GA",Temp,65.7
"Lamar, GA",Temp,64.9
"Lanier, GA",Temp,68.4
"Laurens, GA",Temp,67.3
"Lee, GA",Temp,68.3
"Liberty, GA",Temp,69.3
"Lincoln, GA",Temp,64.4
"Long, GA",Temp,69.3
"Lowndes, GA",Temp,68.3
"Lumpkin, GA",Temp,59.2
"Macon, GA",Temp,66.8
"Madison, GA",Temp,62.7
"Marion, GA",Temp,65.9
"McDuffie, GA",Temp,64.9
"McIntosh, GA",Temp,69.7
"Meriwether, GA",Temp,64.6
"Miller, GA",Temp,68.8
"Mitchell, GA",Temp,68.7
"Monroe, GA",Temp,65.3
"Montgomery, GA",Temp,68.1
"Morgan, GA",Temp,64.3
"Murray, GA",Temp,60.8
"Muscogee, GA",Temp,66.0
"Newton, GA",Temp,64.1
"Oconee, GA",Temp,63.4
"Oglethorpe, GA",Temp,63.3
"Paulding, GA",Temp,62.6
"Peach, GA",Temp,66.3
"Pickens, GA",Temp,60.0
"Pierce, GA",Temp,69.4
"Pike, GA",Temp,64.9
"Polk, GA",Temp,62.6
"Pulaski, GA",Temp,67.4
"Putnam, GA",Temp,65.2
"Quitman, GA",Temp,67.0
"Rabun, GA",Temp,57.8
"Randolph, GA",Temp,67.2
"Richmond, GA",Temp,66.7
"Rockdale, GA",Temp,63.8
"Schley, GA",Temp,66.5
"Screven, GA",Temp,67.1
"Seminole, GA",Temp,69.2
"Spalding, GA",Temp,64.8
"Stephens, GA",Temp,61.9
"Stewart, GA",Temp,66.6
"Sumter, GA",Temp,67.4
"Talbot, GA",Temp,65.0
"Taliaferro, GA",Temp,64.0
"Tattnall, GA",Temp,68.6
"Taylor, GA",Temp,65.7
"Telfair, GA",Temp,68.4
"Terrell, GA",Temp,67.8
"Thomas, GA",Temp,68.6
"Tift, GA",Temp,67.8
"Toombs, GA",Temp,68.3
"Towns, GA",Temp,57.2
"Treutlen, GA",Temp,67.4
"Troup, GA",Temp,64.3
"Turner, GA",Temp,67.7
"Twiggs, GA",Temp,66.6
"Union, GA",Temp,57.5
"Upson, GA",Temp,65.2
"Walker, GA",Temp,61.4
"Walton, GA",Temp,63.3
"Ware, GA",Temp,69.5
"Warren, GA",Temp,64.6
"Washington, GA",Temp,65.9
"Wayne, GA",Temp,69.2
"Webster, GA",Temp,66.8
"Wheeler, GA",Temp,68.2
"White, GA",Temp,59.3
"Whitfield, GA",Temp,61.7
"Wilcox, GA",Temp,67.8
"Wilkes, GA",Temp,63.8
"Wilkinson, GA",Temp,66.5
"Worth, GA",Temp,68.0
"Ada, ID",Temp,51.6
"Adams, ID",Temp,43.1
"Bannock, ID",Temp,44.6
"Bear Lake, ID",Temp,39.8
"Benewah, ID",Temp,45.3
"Bingham, ID",Temp,44.0
"Blaine, ID",Temp,41.7
"Boise, ID",Temp,43.3
"Bonner, ID",Temp,43.5
"Bonneville, ID",Temp,41.8
"Boundary, ID",Temp,41.4
"Butte, ID",Temp,41.1
"Camas, ID",Temp,41.0
"Canyon, ID",Temp,51.8
"Caribou, ID",Temp,41.0
"Cassia, ID",Temp,45.4
"Clark, ID",Temp,39.7
"Clearwater, ID",Temp,43.7
"Custer, ID",Temp,38.0
"Elmore, ID",Temp,47.2
"Franklin, ID",Temp,43.8
"Fremont, ID",Temp,39.5
"Gem, ID",Temp,48.6
"Gooding, ID",Temp,47.9
"Idaho, ID",Temp,41.5
"Jefferson, ID",Temp,43.2
"Jerome, ID",Temp,48.2
"Kootenai, ID",Temp,45.2
"Latah, ID",Temp,46.0
"Lemhi, ID",Temp,39.0
"Lewis, ID",Temp,44.9
"Lincoln, ID",Temp,46.5
"Madison, ID",Temp,42.4
"Minidoka, ID",Temp,46.1
"Nez Perce, ID",Temp,48.4
"Oneida, ID",Temp,44.9
"Owyhee, ID",Temp,47.0
"Payette, ID",Temp,51.0
"Power, ID",Temp,44.7
"Shoshone, ID",Temp,42.6
"Teton, ID",Temp,39.4
"Twin Falls, ID",Temp,46.6
"Valley, ID",Temp,39.1
"Washington, ID",Temp,47.4
"Adams, IL",Temp,52.1
"Alexander, IL",Temp,58.0
"Bond, IL",Temp,54.4
"Boone, IL",Temp,47.0
"Brown, IL",Temp,52.1
"Bureau, IL",Temp,48.6
"Calhoun, IL",Temp,54.1
"Carroll, IL",Temp,47.9
"Cass, IL",Temp,52.1
"Champaign, IL",Temp,51.6
"Christian, IL",Temp,52.7
"Clark, IL",Temp,53.7
"Clay, IL",Temp,54.9
"Clinton, IL",Temp,55.5
"Coles, IL",Temp,53.0
"Cook, IL",Temp,49.3
"Crawford, IL",Temp,54.5
"Cumberland, IL",Temp,53.6
"De Witt, IL",Temp,51.6
"DeKalb, IL",Temp,47.6
"Douglas, IL",Temp,52.6
"DuPage, IL",Temp,48.8
"Edgar, IL",Temp,52.5
"Edwards, IL",Temp,56.1
"Effingham, IL",Temp,53.8
"Fayette, IL",Temp,53.9
"Ford, IL",Temp,50.6
"Franklin, IL",Temp,56.2
"Fulton, IL",Temp,51.2
"Gallatin, IL",Temp,56.8
"Greene, IL",Temp,53.6
"Grundy, IL",Temp,49.8
"Hamilton, IL",Temp,56.2
"Hancock, IL",Temp,51.3
"Hardin, IL",Temp,57.1
"Henderson, IL",Temp,50.2
"Henry, IL",Temp,48.9
"Iroquois, IL",Temp,50.8
"Jackson, IL",Temp,56.5
"Jasper, IL",Temp,54.4
"Jefferson, IL",Temp,55.7
"Jersey, IL",Temp,54.4
"Jo Daviess, IL",Temp,46.8
"Johnson, IL",Temp,56.7
"Kane, IL",Temp,48.0
"Kankakee, IL",Temp,50.1
"Kendall, IL",Temp,49.0
"Knox, IL",Temp,49.5
"Lake, IL",Temp,47.8
"LaSalle, IL",Temp,49.1
"Lawrence, IL",Temp,55.5
"Lee, IL",Temp,48.1
"Livingston, IL",Temp,49.7
"Logan, IL",Temp,52.0
"Macon, IL",Temp,52.2
"Macoupin, IL",Temp,53.4
"Madison, IL",Temp,55.2
"Marion, IL",Temp,54.8
"Marshall, IL",Temp,50.0
"Mason, IL",Temp,52.0
"Massac, IL",Temp,57.6
"McDonough, IL",Temp,50.7
"McHenry, IL",Temp,47.2
"McLean, IL",Temp,50.7
"Menard, IL",Temp,51.9
"Mercer, IL",Temp,49.4
"Monroe, IL",Temp,56.7
"Montgomery, IL",Temp,53.1
"Morgan, IL",Temp,52.4
"Moultrie, IL",Temp,52.5
"Ogle, IL",Temp,47.8
"Peoria, IL",Temp,50.9
"Perry, IL",Temp,56.0
"Piatt, IL",Temp,51.9
"Pike, IL",Temp,52.9
"Pope, IL",Temp,56.7
"Pulaski, IL",Temp,58.0
"Putnam, IL",Temp,49.5
"Randolph, IL",Temp,56.5
"Richland, IL",Temp,55.2
"Rock Island, IL",Temp,49.2
"Saline, IL",Temp,56.4
"Sangamon, IL",Temp,52.2
"Schuyler, IL",Temp,51.8
"Scott, IL",Temp,53.0
"Shelby, IL",Temp,52.9
"St. Clair, IL",Temp,56.2
"Stark, IL",Temp,49.3
"Stephenson, IL",Temp,46.9
"Tazewell, IL",Temp,51.7
"Union, IL",Temp,57.0
"Vermilion, IL",Temp,51.4
"Wabash, IL",Temp,56.1
"Warren, IL",Temp,49.6
"Washington, IL",Temp,55.6
"Wayne, IL",Temp,56.0
"White, IL",Temp,56.5
"Whiteside, IL",Temp,48.6
"Will, IL",Temp,49.5
"Williamson, IL",Temp,56.3
"Winnebago, IL",Temp,47.3
"Woodford, IL",Temp,50.7
"Adams, IN",Temp,50.5
"Allen, IN",Temp,49.9
"Bartholomew, IN",Temp,54.2
"Benton, IN",Temp,50.3
"Blackford, IN",Temp,51.5
"Boone, IN",Temp,51.1
"Brown, IN",Temp,53.3
"Carroll, IN",Temp,50.7
"Cass, IN",Temp,50.3
"Clark, IN",Temp,56.4
"Clay, IN",Temp,53.9
"Clinton, IN",Temp,50.9
"Crawford, IN",Temp,55.3
"Daviess, IN",Temp,55.2
"Dearborn, IN",Temp,54.7
"Decatur, IN",Temp,53.3
"DeKalb, IN",Temp,48.8
"Delaware, IN",Temp,52.4
"Dubois, IN",Temp,55.3
"Elkhart, IN",Temp,49.0
"Fayette, IN",Temp,52.4
"Floyd, IN",Temp,56.7
"Fountain, IN",Temp,51.3
"Franklin, IN",Temp,53.3
"Fulton, IN",Temp,49.8
"Gibson, IN",Temp,56.3
"Grant, IN",Temp,51.3
"Greene, IN",Temp,54.3
"Hamilton, IN",Temp,51.7
"Hancock, IN",Temp,52.4
"Harrison, IN",Temp,56.5
"Hendricks, IN",Temp,51.7
"Henry, IN",Temp,51.8
"Howard, IN",Temp,50.6
"Huntington, IN",Temp,50.4
"Jackson, IN",Temp,54.6
"Jasper, IN",Temp,49.8
"Jay, IN",Temp,51.3
"Jefferson, IN",Temp,55.4
"Jennings, IN",Temp,54.6
"Johnson, IN",Temp,52.9
"Knox, IN",Temp,55.5
"Kosciusko, IN",Temp,49.6
"LaGrange, IN",Temp,48.8
"Lake, IN",Temp,49.4
"LaPorte, IN",Temp,48.9
"Lawrence, IN",Temp,54.1
"Madison, IN",Temp,52.2
"Marion, IN",Temp,52.4
"Marshall, IN",Temp,49.4
"Martin, IN",Temp,54.9
"Miami, IN",Temp,50.4
"Monroe, IN",Temp,53.1
"Montgomery, IN",Temp,51.3
"Morgan, IN",Temp,52.7
"Newton, IN",Temp,50.2
"Noble, IN",Temp,49.0
"Ohio, IN",Temp,55.6
"Orange, IN",Temp,54.8
"Owen, IN",Temp,53.4
"Parke, IN",Temp,52.5
"Perry, IN",Temp,55.5
"Pike, IN",Temp,55.8
"Porter, IN",Temp,49.1
"Posey, IN",Temp,56.9
"Pulaski, IN",Temp,49.8
"Putnam, IN",Temp,52.1
"Randolph, IN",Temp,51.5
"Ripley, IN",Temp,53.9
"Rush, IN",Temp,52.5
"Scott, IN",Temp,55.5
"Shelby, IN",Temp,53.3
"Spencer, IN",Temp,56.1
"St. Joseph, IN",Temp,48.8
"Starke, IN",Temp,49.5
"Steuben, IN",Temp,48.3
"Sullivan, IN",Temp,54.7
"Switzerland, IN",Temp,56.0
"Tippecanoe, IN",Temp,50.9
"Tipton, IN",Temp,51.0
"Union, IN",Temp,52.6
"Vanderburgh, IN",Temp,56.9
"Vermillion, IN",Temp,52.2
"Vigo, IN",Temp,54.1
"Wabash, IN",Temp,50.5
"Warren, IN",Temp,50.8
"Warrick, IN",Temp,56.5
"Washington, IN",Temp,55.0
"Wayne, IN",Temp,51.9
"Wells, IN",Temp,50.5
"White, IN",Temp,50.2
"Whitley, IN",Temp,49.6
"Adair, IA",Temp,47.1
"Adams, IA",Temp,47.9
"Allamakee, IA",Temp,44.5
"Appanoose, IA",Temp,49.4
"Audubon, IA",Temp,46.5
"Benton, IA",Temp,45.8
"Black Hawk, IA",Temp,45.9
"Boone, IA",Temp,47.0
"Bremer, IA",Temp,45.2
"Buchanan, IA",Temp,45.0
"Buena Vista, IA",Temp,44.9
"Butler, IA",Temp,45.3
"Calhoun, IA",Temp,45.9
"Carroll, IA",Temp,46.5
"Cass, IA",Temp,47.7
"Cedar, IA",Temp,47.6
"Cerro Gordo, IA",Temp,44.3
"Cherokee, IA",Temp,44.8
"Chickasaw, IA",Temp,44.0
"Clarke, IA",Temp,48.6
"Clay, IA",Temp,44.2
"Clayton, IA",Temp,45.2
"Clinton, IA",Temp,48.5
"Crawford, IA",Temp,46.6
"Dallas, IA",Temp,47.9
"Davis, IA",Temp,49.7
"Decatur, IA",Temp,49.5
"Delaware, IA",Temp,45.6
"Des Moines, IA",Temp,49.8
