Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Number of Completed Surveys,Start Date,End Date,Location,Nurse Communication,Doctor Communication,Staff Responsiveness,Communication About Medicines,Discharge Information,Care Transition,Cleanliness,Quietness,Overall Hospital Rating,Recommend Hospital,Payment for heart attack patients,Payment for heart failure patients,Payment for pneumonia patients,Payment for hip/knee replacement patients,Value of care for heart attack patients,Value of care for heart failure patients,Value of care for pneumonia patients,Value of care for hip/knee replacement patients
10021.0,Dale Medical Center,126 HOSPITAL AVE,Ozark,AL,36360,Dale,(334) 774-2601,139,01/01/2018,12/31/2018,"126 HOSPITAL AVE OZARK, AL 36360 (31.451345, -85.630966)",94.0,97.0,92.0,87.0,89.0,86.0,92.0,90.0,91.0,93.0,Number of Cases Too Small,No Different Than the National Average Payment,No Different Than the National Average Payment,Number of Cases Too Small,Not Available,Average Mortality and Average Payment,Average Mortality and Average Payment,Not Available
10022.0,Floyd Cherokee Medical Center,400 NORTHWOOD DR,Centre,AL,35960,Cherokee,(256) 927-5531,64,01/01/2018,12/31/2018,"400 NORTHWOOD DR CENTRE, AL 35960 (34.162761, -85.65142)",,,,,,,,,,,Number of Cases Too Small,Number of Cases Too Small,Less Than the National Average Payment,Not Available,Not Available,Not Available,Average Mortality and Lower Payment,Not Available
10023.0,Baptist Medical Center South,2105 EAST SOUTH BOULEVARD,Montgomery,AL,36116,Montgomery,(334) 288-2100,804,01/01/2018,12/31/2018,"2105 EAST SOUTH BOULEVARD MONTGOMERY, AL 36116 (32.327144, -86.276764)",90.0,91.0,83.0,78.0,83.0,81.0,85.0,85.0,87.0,87.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Worse Mortality and Higher Payment,Average Complications and Lower Payment
10024.0,Jackson Hospital & Clinic Inc,1725 PINE STREET,Montgomery,AL,36106,Montgomery,(334) 293-8000,1694,01/01/2018,12/31/2018,"1725 PINE STREET MONTGOMERY, AL 36106 (32.366606, -86.285155)",91.0,92.0,87.0,81.0,86.0,81.0,86.0,86.0,88.0,90.0,Greater Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Higher Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Average Payment
10029.0,East Alabama Medical Center,2000 PEPPERELL PARKWAY,Opelika,AL,36801,Lee,(334) 749-3411,1950,01/01/2018,12/31/2018,"2000 PEPPERELL PARKWAY OPELIKA, AL 36801 (32.638055, -85.404003)",93.0,94.0,87.0,80.0,86.0,83.0,87.0,89.0,90.0,91.0,No Different Than the National Average Payment,Less Than the National Average Payment,Less Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Lower Payment,Average Mortality and Lower Payment,Average Complications and Average Payment
10033.0,University Of Alabama Hospital,619 SOUTH 19TH STREET,Birmingham,AL,35233,Jefferson,(205) 934-4011,4896,01/01/2018,12/31/2018,"619 SOUTH 19TH STREET BIRMINGHAM, AL 35233 (33.506129, -86.801922)",93.0,93.0,85.0,79.0,88.0,83.0,84.0,85.0,91.0,93.0,Less Than the National Average Payment,Less Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Lower Payment,Better Mortality and Lower Payment,Better Mortality and Average Payment,Average Complications and Higher Payment
10034.0,Community Hospital Inc,805 FRIENDSHIP ROAD,Tallassee,AL,36078,Elmore,(334) 283-6541,197,01/01/2018,12/31/2018,"805 FRIENDSHIP ROAD TALLASSEE, AL 36078 (32.535293, -85.911996)",93.0,93.0,91.0,78.0,87.0,79.0,92.0,87.0,86.0,83.0,Number of Cases Too Small,Less Than the National Average Payment,No Different Than the National Average Payment,Not Available,Not Available,Average Mortality and Lower Payment,Average Mortality and Average Payment,Not Available
10035.0,Cullman Regional Medical Center,1912 ALABAMA HIGHWAY 157,Cullman,AL,35058,Cullman,(256) 737-2000,383,01/01/2018,12/31/2018,"1912 ALABAMA HIGHWAY 157 CULLMAN, AL 35058 (34.198587, -86.805641)",89.0,91.0,81.0,74.0,79.0,79.0,89.0,86.0,87.0,85.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Average Payment
10036.0,Andalusia Health,849 SOUTH THREE NOTCH STREET,Andalusia,AL,36420,Covington,(334) 222-8466,329,01/01/2018,12/31/2018,"849 SOUTH THREE NOTCH STREET ANDALUSIA, AL 36420 (31.297462, -86.495599)",88.0,90.0,81.0,76.0,86.0,81.0,83.0,82.0,84.0,82.0,No Different Than the National Average Payment,Less Than the National Average Payment,Less Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Lower Payment,Average Mortality and Lower Payment,Average Complications and Average Payment
10038.0,Stringfellow Memorial Hospital,301 EAST 18TH ST,Anniston,AL,36201,Calhoun,(256) 235-8900,317,01/01/2018,12/31/2018,"301 EAST 18TH ST ANNISTON, AL 36201 (33.667701, -85.825025)",90.0,90.0,81.0,70.0,83.0,79.0,85.0,85.0,85.0,84.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
10039.0,Huntsville Hospital,101 SIVLEY RD,Huntsville,AL,35801,Madison,(256) 265-1000,2043,01/01/2018,12/31/2018,"101 SIVLEY RD HUNTSVILLE, AL 35801 (34.721226, -86.581547)",92.0,91.0,85.0,77.0,84.0,82.0,88.0,86.0,90.0,90.0,Less Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Lower Payment,Average Mortality and Average Payment,Worse Mortality and Lower Payment,Average Complications and Lower Payment
10040.0,Gadsden Regional Medical Center,1007 GOODYEAR AVENUE,Gadsden,AL,35903,Etowah,(256) 494-4000,712,01/01/2018,12/31/2018,"1007 GOODYEAR AVENUE GADSDEN, AL 35903 (34.009389, -85.96752)",89.0,89.0,82.0,76.0,85.0,79.0,84.0,82.0,84.0,85.0,Greater Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Worse Complications and Higher Payment
10044.0,Marion Regional Medical Center,1256 MILITARY STREET SOUTH,Hamilton,AL,35570,Marion,(205) 921-6200,97,01/01/2018,12/31/2018,"1256 MILITARY STREET SOUTH HAMILTON, AL 35570 (34.125852, -87.989806)",,,,,,,,,,,Number of Cases Too Small,No Different Than the National Average Payment,Less Than the National Average Payment,Not Available,Not Available,Average Mortality and Average Payment,Average Mortality and Lower Payment,Not Available
10045.0,Fayette Medical Center,1653 TEMPLE AVENUE NORTH,Fayette,AL,35555,Fayette,(205) 932-5966,200,01/01/2018,12/31/2018,"1653 TEMPLE AVENUE NORTH FAYETTE, AL 35555 (33.707708, -87.823706)",96.0,98.0,89.0,90.0,96.0,88.0,94.0,95.0,93.0,93.0,Number of Cases Too Small,No Different Than the National Average Payment,No Different Than the National Average Payment,Not Available,Not Available,Average Mortality and Average Payment,Average Mortality and Average Payment,Not Available
10046.0,Riverview Regional Medical Center,600 SOUTH THIRD STREET,Gadsden,AL,35901,Etowah,(256) 543-5200,428,01/01/2018,12/31/2018,"600 SOUTH THIRD STREET GADSDEN, AL 35901 (34.003811, -86.004086)",89.0,88.0,85.0,80.0,84.0,80.0,88.0,87.0,88.0,89.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Better Mortality and Average Payment,Average Mortality and Higher Payment,Average Complications and Average Payment
10047.0,Georgiana Medical Center,515 N MIRANDA AVENUE,Georgiana,AL,36033,Butler,(334) 376-2205,Not Available,01/01/2018,12/31/2018,"515 N MIRANDA AVENUE GEORGIANA, AL 36033 (31.636334, -86.742751)",,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10049.0,Medical Center Enterprise,400 N EDWARDS STREET,Enterprise,AL,36330,Coffee,(334) 347-0584,432,01/01/2018,12/31/2018,"400 N EDWARDS STREET ENTERPRISE, AL 36330 (31.318191, -85.855308)",93.0,93.0,86.0,81.0,89.0,83.0,89.0,88.0,89.0,88.0,Number of Cases Too Small,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Not Available,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Average Payment
10051.0,Greene County Hospital,509 WILSON AVENUE,Eutaw,AL,35462,Greene,(205) 372-3388,26,01/01/2018,12/31/2018,"509 WILSON AVENUE EUTAW, AL 35462 (32.844744, -87.889307)",,,,,,,,,,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available
10052.0,Lake Martin Community Hospital,201 MARIARDEN ROAD,Dadeville,AL,36853,Tallapoosa,(256) 825-7821,142,01/01/2018,12/31/2018,"201 MARIARDEN ROAD DADEVILLE, AL 36853 (32.8187, -85.741758)",93.0,95.0,91.0,90.0,85.0,83.0,90.0,87.0,89.0,86.0,Number of Cases Too Small,Number of Cases Too Small,Less Than the National Average Payment,Not Available,Not Available,Not Available,Average Mortality and Lower Payment,Not Available
10055.0,Flowers Hospital,4370 WEST MAIN STREET,Dothan,AL,36305,Houston,(334) 793-5000,867,01/01/2018,12/31/2018,"4370 WEST MAIN STREET DOTHAN, AL 36305 (31.235991, -85.457937)",92.0,92.0,83.0,82.0,86.0,82.0,85.0,83.0,89.0,90.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Worse Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
10056.0,St Vincent'S Birmingham,810 ST VINCENT'S DRIVE,Birmingham,AL,35205,Jefferson,(205) 939-7000,3432,01/01/2018,12/31/2018,"810 ST VINCENT'S DRIVE BIRMINGHAM, AL 35205 (33.508015, -86.788755)",91.0,92.0,86.0,80.0,88.0,84.0,84.0,86.0,90.0,92.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Average Payment
10058.0,Bibb Medical Center,208 PIERSON AVE,Centreville,AL,35042,Bibb,(205) 926-4881,65,01/01/2018,12/31/2018,"208 PIERSON AVE CENTREVILLE, AL 35042 (32.951101, -87.147865)",,,,,,,,,,,Number of Cases Too Small,No Different Than the National Average Payment,Less Than the National Average Payment,Not Available,Not Available,Average Mortality and Average Payment,Average Mortality and Lower Payment,Not Available
10059.0,Lawrence Medical Center,202 HOSPITAL STREET,Moulton,AL,35650,Lawrence,(256) 974-2200,55,01/01/2018,12/31/2018,"202 HOSPITAL STREET MOULTON, AL 35650 (34.482884, -87.286019)",,,,,,,,,,,Number of Cases Too Small,No Different Than the National Average Payment,No Different Than the National Average Payment,Not Available,Not Available,Average Mortality and Average Payment,Average Mortality and Average Payment,Not Available
10061.0,Highlands Medical Center,380 WOODS COVE ROAD,Scottsboro,AL,35768,Jackson,(256) 259-4444,292,01/01/2018,12/31/2018,"380 WOODS COVE ROAD SCOTTSBORO, AL 35768 (34.661254, -86.047116)",89.0,90.0,85.0,76.0,86.0,79.0,81.0,85.0,83.0,82.0,Number of Cases Too Small,No Different Than the National Average Payment,Less Than the National Average Payment,Greater Than the National Average Payment,Not Available,Average Mortality and Average Payment,Average Mortality and Lower Payment,Average Complications and Higher Payment
10062.0,Wiregrass Medical Center,1200 W MAPLE AVENUE,Geneva,AL,36340,Geneva,(334) 684-3655,194,01/01/2018,12/31/2018,"1200 W MAPLE AVENUE GENEVA, AL 36340 (31.048063, -85.890837)",91.0,93.0,87.0,82.0,90.0,82.0,85.0,83.0,88.0,88.0,Number of Cases Too Small,Less Than the National Average Payment,Less Than the National Average Payment,Not Available,Not Available,Average Mortality and Lower Payment,Average Mortality and Lower Payment,Not Available
10065.0,Russell Medical Center,3316 HIGHWAY 280,Alexander City,AL,35010,Tallapoosa,(256) 329-7100,500,01/01/2018,12/31/2018,"3316 HIGHWAY 280 ALEXANDER CITY, AL 35010 (32.93103, -85.968394)",93.0,92.0,90.0,83.0,87.0,81.0,90.0,87.0,88.0,86.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
10069.0,Medical Center Barbour,820 W WASHINGTON ST,Eufaula,AL,36027,Barbour,(334) 688-7271,181,01/01/2018,12/31/2018,"820 W WASHINGTON ST EUFAULA, AL 36027 (31.88798, -85.156613)",89.0,94.0,84.0,81.0,88.0,77.0,87.0,87.0,85.0,84.0,Number of Cases Too Small,No Different Than the National Average Payment,Less Than the National Average Payment,Not Available,Not Available,Average Mortality and Average Payment,Average Mortality and Lower Payment,Not Available
10073.0,Clay County Hospital,83825 HIGHWAY 9    P O BOX 1270,Ashland,AL,36251,Clay,(256) 354-2131,120,01/01/2018,12/31/2018,"83825 HIGHWAY 9 P O BOX 1270 ASHLAND, AL 36251 (33.276548, -85.823789)",93.0,95.0,91.0,90.0,85.0,83.0,88.0,88.0,91.0,89.0,Number of Cases Too Small,No Different Than the National Average Payment,Less Than the National Average Payment,Not Available,Not Available,Average Mortality and Average Payment,Average Mortality and Lower Payment,Not Available
10078.0,Northeast Alabama Regional Medical Center,400 EAST 10TH STREET,Anniston,AL,36207,Calhoun,(256) 235-5121,951,01/01/2018,12/31/2018,"400 EAST 10TH STREET ANNISTON, AL 36207 (33.657123, -85.823353)",91.0,90.0,84.0,77.0,86.0,81.0,85.0,87.0,87.0,85.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
10079.0,Athens Limestone Hospital,700 WEST MARKET STREET,Athens,AL,35611,Limestone,(256) 233-9292,340,01/01/2018,12/31/2018,"700 WEST MARKET STREET ATHENS, AL 35611 (34.803499, -86.977803)",93.0,94.0,84.0,78.0,87.0,81.0,90.0,88.0,88.0,87.0,Number of Cases Too Small,No Different Than the National Average Payment,Less Than the National Average Payment,Greater Than the National Average Payment,Not Available,Average Mortality and Average Payment,Worse Mortality and Lower Payment,Average Complications and Higher Payment
10083.0,South Baldwin Regional Medical Center,1613 NORTH MCKENZIE STREET,Foley,AL,36535,Baldwin,(251) 949-3400,691,01/01/2018,12/31/2018,"1613 NORTH MCKENZIE STREET FOLEY, AL 36535 (30.426109, -87.683187)",94.0,92.0,90.0,84.0,88.0,84.0,91.0,87.0,91.0,90.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Lower Payment,Average Complications and Lower Payment
10085.0,Decatur Morgan Hospital-Decatur Campus,1201 7TH STREET SE,Decatur,AL,35601,Morgan,(256) 341-2000,388,01/01/2018,12/31/2018,"1201 7TH STREET SE DECATUR, AL 35601 (34.591168, -86.972621)",92.0,94.0,85.0,77.0,88.0,81.0,89.0,82.0,88.0,86.0,No Different Than the National Average Payment,Less Than the National Average Payment,Less Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Lower Payment,Average Mortality and Lower Payment,Average Complications and Average Payment
10086.0,Northwest Medical Center,1530 U S HIGHWAY 43,Winfield,AL,35594,Fayette,(205) 487-7736,165,01/01/2018,12/31/2018,"1530 U S HIGHWAY 43 WINFIELD, AL 35594 (33.929316, -87.824507)",92.0,95.0,90.0,86.0,93.0,84.0,88.0,88.0,88.0,86.0,Number of Cases Too Small,No Different Than the National Average Payment,Less Than the National Average Payment,Not Available,Not Available,Average Mortality and Average Payment,Average Mortality and Lower Payment,Not Available
10087.0,University Of South Alabama Medical Center,2451 FILLINGIM STREET,Mobile,AL,36617,Mobile,(251) 471-7110,910,01/01/2018,12/31/2018,"2451 FILLINGIM STREET MOBILE, AL 36617 (30.708121, -88.099441)",91.0,93.0,86.0,83.0,86.0,83.0,86.0,83.0,88.0,90.0,Number of Cases Too Small,No Different Than the National Average Payment,No Different Than the National Average Payment,Number of Cases Too Small,Not Available,Average Mortality and Average Payment,Average Mortality and Average Payment,Not Available
10089.0,Walker Baptist Medical Center,3400 HIGHWAY 78 EAST,Jasper,AL,35502,Walker,(205) 387-4000,675,01/01/2018,12/31/2018,"3400 HIGHWAY 78 EAST JASPER, AL 35502 (33.841142, -87.236879)",92.0,92.0,88.0,79.0,88.0,81.0,84.0,82.0,87.0,85.0,Number of Cases Too Small,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Not Available,Average Mortality and Average Payment,Worse Mortality and Average Payment,Average Complications and Average Payment
10090.0,Providence Hospital,6801 AIRPORT BOULEVARD,Mobile,AL,36608,Mobile,(251) 633-1000,1165,01/01/2018,12/31/2018,"6801 AIRPORT BOULEVARD MOBILE, AL 36608 (30.68169, -88.198329)",89.0,90.0,88.0,73.0,84.0,81.0,84.0,82.0,87.0,87.0,No Different Than the National Average Payment,Less Than the National Average Payment,Less Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Lower Payment,Average Mortality and Lower Payment,Average Complications and Lower Payment
10091.0,Grove Hill Memorial Hospital,295 JACKSON HWY S,Grove Hill,AL,36451,Clarke,(251) 275-3191,104,01/01/2018,12/31/2018,"295 JACKSON HWY S GROVE HILL, AL 36451 (31.694213, -87.777231)",88.0,95.0,87.0,66.0,80.0,80.0,85.0,87.0,83.0,80.0,Number of Cases Too Small,No Different Than the National Average Payment,No Different Than the National Average Payment,Not Available,Not Available,Average Mortality and Average Payment,Average Mortality and Average Payment,Not Available
10092.0,D C H Regional Medical Center,809 UNIVERSITY BOULEVARD EAST,Tuscaloosa,AL,35401,Tuscaloosa,(205) 759-7111,2168,01/01/2018,12/31/2018,"809 UNIVERSITY BOULEVARD EAST TUSCALOOSA, AL 35401 (33.20613, -87.525154)",89.0,91.0,81.0,74.0,83.0,79.0,84.0,85.0,85.0,84.0,No Different Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
10095.0,Hale County Hospital,508 GREEN STREET,Greensboro,AL,36744,Hale,(334) 624-3024,101,01/01/2018,12/31/2018,"508 GREEN STREET GREENSBORO, AL 36744 (32.412098, -87.018633)",95.0,95.0,94.0,85.0,86.0,81.0,93.0,90.0,89.0,92.0,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Average Payment,Not Available,Not Available,Not Available,Average Mortality and Average Payment,Not Available
10097.0,Elmore Community Hospital,500 HOSPITAL DRIVE,Wetumpka,AL,36092,Elmore,(334) 567-4311,114,01/01/2018,12/31/2018,"500 HOSPITAL DRIVE WETUMPKA, AL 36092 (32.551957, -86.185643)",95.0,98.0,92.0,81.0,85.0,83.0,86.0,87.0,90.0,87.0,Number of Cases Too Small,Number of Cases Too Small,Less Than the National Average Payment,Not Available,Not Available,Not Available,Average Mortality and Lower Payment,Not Available
10099.0,D W Mcmillan Memorial Hospital,1301 BELLEVILLE AVENUE,Brewton,AL,36426,Escambia,(251) 867-8061,301,01/01/2018,12/31/2018,"1301 BELLEVILLE AVENUE BREWTON, AL 36426 (31.127105, -87.072378)",92.0,92.0,89.0,81.0,84.0,80.0,90.0,86.0,89.0,87.0,Number of Cases Too Small,Less Than the National Average Payment,Less Than the National Average Payment,Not Available,Not Available,Average Mortality and Lower Payment,Average Mortality and Lower Payment,Not Available
10100.0,Thomas Hospital,750 MORPHY AVENUE,Fairhope,AL,36532,Baldwin,(251) 928-2375,1252,01/01/2018,12/31/2018,"750 MORPHY AVENUE FAIRHOPE, AL 36532 (30.519999, -87.890333)",93.0,92.0,88.0,82.0,90.0,83.0,86.0,85.0,90.0,91.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Lower Payment
10101.0,Citizens Baptist Medical Center,604 STONE AVENUE,Talladega,AL,35161,Talladega,(256) 761-4542,255,01/01/2018,12/31/2018,"604 STONE AVENUE TALLADEGA, AL 35161 (33.439801, -86.090641)",92.0,92.0,88.0,82.0,88.0,82.0,90.0,86.0,89.0,86.0,Number of Cases Too Small,No Different Than the National Average Payment,No Different Than the National Average Payment,Not Available,Not Available,Average Mortality and Average Payment,Average Mortality and Average Payment,Not Available
10102.0,J Paul Jones Hospital,317 MCWILLIAMS AVENUE,Camden,AL,36726,Wilcox,(334) 682-4131,Not Available,01/01/2018,12/31/2018,"317 MCWILLIAMS AVENUE CAMDEN, AL 36726 (31.996611, -87.299424)",,,,,,,,,,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Average Payment,Not Available,Not Available,Not Available,Average Mortality and Average Payment,Not Available
10103.0,Princeton Baptist Medical Center,701 PRINCETON AVENUE SOUTHWEST,Birmingham,AL,35211,Jefferson,(205) 783-3800,1227,01/01/2018,12/31/2018,"701 PRINCETON AVENUE SOUTHWEST BIRMINGHAM, AL 35211 (33.499133, -86.846016)",90.0,93.0,83.0,78.0,85.0,81.0,81.0,84.0,88.0,87.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Worse Mortality and Average Payment,Average Complications and Higher Payment
